2026-01-03 07:21:26,613 p=94759 u=dgoldgar n=ansible ERROR| [ERROR]: Unable to read source file (/Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/group_vars/all/vault.yml): [Errno 2] No such file or directory: '/Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/group_vars/all/vault.yml'
2026-01-03 17:05:12,216 p=10980 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 17:05:12,923 p=10980 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 17:05:12,926 p=10980 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 17:05:13,518 p=10980 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 17:05:13,521 p=10980 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-03 17:05:13,522 p=10980 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 17:05:13,522 p=10980 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-03 17:05:13,522 p=10980 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-03 17:05:45,134 p=11299 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-03 17:05:45,148 p=11299 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 17:05:45,889 p=11299 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 17:05:45,892 p=11299 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 17:05:45,902 p=11299 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-03 17:05:45,904 p=11299 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 17:05:46,361 p=11299 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 17:05:46,365 p=11299 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 17:05:46,368 p=11299 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 17:05:47,048 p=11299 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 17:05:47,050 p=11299 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 17:05:47,671 p=11299 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 17:05:47,674 p=11299 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-03 17:05:47,674 p=11299 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 17:05:47,675 p=11299 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-03 17:05:47,675 p=11299 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-03 17:06:43,489 p=11489 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-03 17:06:43,503 p=11489 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 17:06:44,241 p=11489 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 17:06:44,243 p=11489 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 17:06:44,255 p=11489 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-03 17:06:44,257 p=11489 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 17:06:44,700 p=11489 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 17:06:44,704 p=11489 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 17:06:44,708 p=11489 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 17:06:45,399 p=11489 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 17:06:45,402 p=11489 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 17:06:45,991 p=11489 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 17:06:45,995 p=11489 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-03 17:06:45,995 p=11489 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 17:06:45,995 p=11489 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-03 17:06:45,995 p=11489 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-03 17:09:09,436 p=11731 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-03 17:09:09,452 p=11731 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 17:09:10,244 p=11731 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 17:09:10,246 p=11731 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 17:09:10,258 p=11731 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-03 17:09:10,260 p=11731 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 17:09:10,698 p=11731 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 17:09:10,702 p=11731 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 17:09:10,705 p=11731 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 17:09:11,413 p=11731 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 17:09:11,416 p=11731 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 17:09:12,028 p=11731 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 17:09:12,032 p=11731 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-03 17:09:12,032 p=11731 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 17:09:12,032 p=11731 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-03 17:09:12,032 p=11731 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-03 21:41:15,738 p=13239 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-03 21:41:15,752 p=13239 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 21:41:18,854 p=13239 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 21:41:18,857 p=13239 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 21:41:18,869 p=13239 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-03 21:41:18,872 p=13239 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 21:41:19,343 p=13239 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 21:41:19,347 p=13239 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 21:41:19,350 p=13239 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 21:41:20,035 p=13239 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 21:41:20,037 p=13239 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 21:41:22,889 p=13353 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-03 21:41:22,906 p=13353 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 21:41:23,625 p=13353 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 21:41:23,627 p=13353 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 21:41:23,639 p=13353 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-03 21:41:23,641 p=13353 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 21:41:24,112 p=13353 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 21:41:24,115 p=13353 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 21:41:24,119 p=13353 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 21:41:24,819 p=13353 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 21:41:24,822 p=13353 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 21:41:25,467 p=13353 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 21:41:25,470 p=13353 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-03 21:41:25,471 p=13353 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 21:41:25,471 p=13353 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-03 21:41:25,471 p=13353 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-03 22:33:38,295 p=19302 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-03 22:33:38,317 p=19302 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-03 22:33:39,164 p=19302 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 22:33:39,167 p=19302 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-03 22:33:39,177 p=19302 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-03 22:33:39,179 p=19302 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-03 22:33:39,549 p=19302 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-03 22:33:39,554 p=19302 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-03 22:33:39,558 p=19302 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-03 22:33:40,118 p=19302 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 22:33:40,121 p=19302 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-03 22:33:40,611 p=19302 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-03 22:33:40,614 p=19302 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-03 22:33:40,614 p=19302 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 22:33:40,615 p=19302 u=dgoldgar n=ansible INFO| PLAY [Homeassistant] ***********************************************************
2026-01-03 22:33:40,615 p=19302 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 22:33:40,615 p=19302 u=dgoldgar n=ansible INFO| PLAY [Nginx] *******************************************************************
2026-01-03 22:33:40,616 p=19302 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 22:33:40,616 p=19302 u=dgoldgar n=ansible INFO| PLAY [Frigate] *****************************************************************
2026-01-03 22:33:40,616 p=19302 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 22:33:40,617 p=19302 u=dgoldgar n=ansible INFO| PLAY [Applications Host] *******************************************************
2026-01-03 22:33:40,617 p=19302 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-03 22:33:40,618 p=19302 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-03 22:33:40,618 p=19302 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-04 17:30:58,815 p=53516 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-04 17:30:58,841 p=53516 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-04 17:30:59,717 p=53516 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 17:30:59,723 p=53516 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-04 17:30:59,733 p=53516 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-04 17:30:59,735 p=53516 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-04 17:31:00,100 p=53516 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-04 17:31:00,104 p=53516 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-04 17:31:00,108 p=53516 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-04 17:31:00,659 p=53516 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 17:31:00,662 p=53516 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-04 17:31:01,165 p=53516 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 17:31:01,168 p=53516 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-04 17:31:01,168 p=53516 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-04 17:31:01,169 p=53516 u=dgoldgar n=ansible INFO| PLAY [Homeassistant] ***********************************************************
2026-01-04 17:31:01,169 p=53516 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-04 17:31:01,170 p=53516 u=dgoldgar n=ansible INFO| PLAY [Nginx] *******************************************************************
2026-01-04 17:31:01,170 p=53516 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-04 17:31:01,170 p=53516 u=dgoldgar n=ansible INFO| PLAY [Frigate] *****************************************************************
2026-01-04 17:31:01,171 p=53516 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-04 17:31:01,171 p=53516 u=dgoldgar n=ansible INFO| PLAY [Applications Host] *******************************************************
2026-01-04 17:31:01,171 p=53516 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-04 17:31:01,171 p=53516 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-04 17:31:01,171 p=53516 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-04 17:38:25,465 p=56265 u=dgoldgar n=ansible INFO| PLAY [Global Base Configuration] ***********************************************
2026-01-04 17:38:25,487 p=56265 u=dgoldgar n=ansible INFO| TASK [Gathering Facts] *********************************************************
2026-01-04 17:38:26,160 p=56265 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 17:38:26,163 p=56265 u=dgoldgar n=ansible INFO| TASK [test : DEBUG — prove tasks run] ******************************************
2026-01-04 17:38:26,173 p=56265 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj] => {
    "msg": "Tasks are executing from /Users/dgoldgar/LITTERBOX/PERSONAL/litterbox-manager/ansible/project"
}
2026-01-04 17:38:26,175 p=56265 u=dgoldgar n=ansible INFO| TASK [test : Touch test file] **************************************************
2026-01-04 17:38:26,537 p=56265 u=dgoldgar n=ansible INFO| changed: [dgoldga-ltmpyaj]
2026-01-04 17:38:26,541 p=56265 u=dgoldgar n=ansible INFO| PLAY [SSH Config] **************************************************************
2026-01-04 17:38:26,545 p=56265 u=dgoldgar n=ansible INFO| TASK [ssh_client : Copy sshconfig to /Users/dgoldgar/.ssh/] ********************
2026-01-04 17:38:27,065 p=56265 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 17:38:27,067 p=56265 u=dgoldgar n=ansible INFO| TASK [ssh_client : Install encrypted key file] *********************************
2026-01-04 17:38:27,559 p=56265 u=dgoldgar n=ansible INFO| ok: [dgoldga-ltmpyaj]
2026-01-04 17:38:27,562 p=56265 u=dgoldgar n=ansible INFO| PLAY [Camera hosts] ************************************************************
2026-01-04 17:38:27,562 p=56265 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-04 17:38:27,563 p=56265 u=dgoldgar n=ansible INFO| PLAY [Homeassistant] ***********************************************************
2026-01-04 17:38:27,563 p=56265 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-04 17:38:27,564 p=56265 u=dgoldgar n=ansible INFO| PLAY [Nginx] *******************************************************************
2026-01-04 17:38:27,564 p=56265 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-04 17:38:27,564 p=56265 u=dgoldgar n=ansible INFO| PLAY [Frigate] *****************************************************************
2026-01-04 17:38:27,565 p=56265 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-04 17:38:27,565 p=56265 u=dgoldgar n=ansible INFO| PLAY [Applications Host] *******************************************************
2026-01-04 17:38:27,565 p=56265 u=dgoldgar n=ansible INFO| skipping: no hosts matched
2026-01-04 17:38:27,566 p=56265 u=dgoldgar n=ansible INFO| PLAY RECAP *********************************************************************
2026-01-04 17:38:27,566 p=56265 u=dgoldgar n=ansible INFO| dgoldga-ltmpyaj            : ok=5    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2026-01-04 22:55:11,281 p=58158 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:11,282 p=58158 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:13,754 p=58162 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:13,754 p=58162 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:16,228 p=58165 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:16,228 p=58165 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:18,695 p=58167 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:18,696 p=58167 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:21,154 p=58168 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:21,154 p=58168 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:24,227 p=58179 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:24,227 p=58179 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:26,690 p=58180 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:26,690 p=58180 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:29,130 p=58184 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:29,130 p=58184 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:31,604 p=58199 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:31,604 p=58199 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:34,089 p=58200 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:34,089 p=58200 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:37,229 p=58211 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:37,229 p=58211 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:39,670 p=58214 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:39,670 p=58214 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:42,146 p=58215 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:42,146 p=58215 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:44,597 p=58216 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:44,597 p=58216 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:47,060 p=58219 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:47,060 p=58219 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:49,686 p=58231 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:49,686 p=58231 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:52,152 p=58233 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:52,153 p=58233 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:54,627 p=58234 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:54,628 p=58234 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:57,088 p=58235 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:57,088 p=58235 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:55:59,549 p=58236 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:55:59,549 p=58236 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:02,674 p=58247 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:02,675 p=58247 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:05,139 p=58248 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:05,139 p=58248 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:07,629 p=58249 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:07,629 p=58249 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:10,100 p=58251 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:10,100 p=58251 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:12,575 p=58258 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:12,575 p=58258 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:15,395 p=58270 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:15,395 p=58270 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:17,855 p=58274 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:17,855 p=58274 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:20,288 p=58281 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:20,288 p=58281 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:22,733 p=58283 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:22,733 p=58283 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:25,166 p=58284 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

2026-01-04 22:56:25,166 p=58284 u=dgoldgar n=ansible ERROR| ERROR! Specified inventory, host pattern and/or --limit leaves us with no hosts to target.
2026-01-04 22:56:28,336 p=58295 u=dgoldgar n=ansible WARNING| [WARNING]: Could not match supplied host pattern, ignoring: application_host

